utterance_id,emotion,speaker,session,transcript,F_epistemic_pull,F_privacy_pressure,F_computational_drag,F_action_efficiency,emotion_uncertainty,emotion_confidence,identity_confidence,conflict_index,semantic_privacy_tension
Ses01M_script01_2_F013,ang,Ses01M,Ses01,You above all have got to believe. Just don't stop believing.,0.9999559077060075,0.9972533390274305,0.8678202961141352,0.9999931591881779,3.270303032457064e-05,0.9999954096349617,0.9986409789234137,3.865022702035751,0.1348754317526195
Ses01M_script03_2_F039,ang,Ses01M,Ses01,"Oh you're cruel you're...you're...I hate you, I hate you. Go away. You're conceited. You're overbearing. You're utterly impossible.",0.9999364471133212,0.9999827778768113,0.7021580282607612,0.9999896583338324,4.663798771543949e-05,0.9999931227186194,0.9999914785024413,3.702066911584726,0.297785299309581
Ses01M_impro07_M002,exc,Ses01M,Ses01,For softball.  They're going to pay me to go to school. Isn't that awesome?,0.999703780595944,0.9999883402637587,0.6925163536062122,0.9999445753721834,0.00021324123861340215,0.9999636724897379,0.9999942307169606,3.6921530498380983,0.3071436620981566
Ses01M_script01_2_F012,ang,Ses01M,Ses01,"Believe with me Joe, you got to believe. Only last week a boy came back missing longer then Larry you read it yourself.",0.9119198328051987,0.784575324361687,0.999999999999,0.9665842958836132,0.06307183921592409,0.9781712296121481,0.8934099826914742,3.663079453049499,0.09392880432812489
Ses01M_impro07_F001,exc,Ses01M,Ses01,[LAUGHTER]. For softball? That's unbelievable. Is it slow pitch?,0.997162419004218,0.999999999997979,0.6415310855958194,0.9993863527228211,0.0020330093241190308,0.9995990162162984,0.9999999998391227,3.6380798573208373,0.3550176861332406
Ses01M_script01_3_F015,exc,Ses01M,Ses01,"Because I was waiting for you, Chris.  Till then you never wrote me and then when you did, well, you sure can be ambiguous you know.",0.9329645690011613,0.9696545861237873,0.7632898813834584,0.9719667602117729,0.048002539584585044,0.9816872986682323,0.9849853866076119,3.6378757967201802,0.17198686170568844
Ses01F_script03_2_M037,ang,Ses01F,Ses01,"You are a vile, ill-tempered, loose living, wicked little beast and I never want to see you again as long as I live.",0.998958542977202,0.9999791056862635,0.6281273656140444,0.9997752267298537,0.0007468762943725454,0.9998530462998215,0.999989661538566,3.6268402410073635,0.3706272984067479
Ses01M_script01_1_F040,ang,Ses01M,Ses01,"All right but you don't think like that because what the hell is this all for.  This is all for you, what are we working for Chris? The whole shooting match is for you.",0.9858324587515809,0.998407624455426,0.6136415012832335,0.9960216169611102,0.010145943801810662,0.9974010186872192,0.9992121080347837,3.5939032014513503,0.36980494997403157
Ses01M_impro03_F014,exc,Ses01M,Ses01,"Dude, you lucked out.",0.9822506463167745,0.9997521509369165,0.6105590322547999,0.9945440694940335,0.012710737406289663,0.9964358178774889,0.999877366554005,3.587105899002524,0.3664835326190915
Ses01M_script01_2_M015,ang,Ses01M,Ses01,What does that mean? Me above all? What does that mean?,0.9934379683329103,0.9865268327370726,0.5890609948041585,0.9983841619756582,0.004699940503747922,0.9989443399082812,0.9933336087902265,3.5674099578497995,0.4162343027673372
Ses01M_impro07_F005,exc,Ses01M,Ses01,That's amazing. They pay for everything?,0.9959165691729709,0.9999970700341673,0.5619389632605922,0.9991233156369023,0.002925112899468936,0.9994271884991014,0.9999985501217585,3.5569759181046328,0.43310385151511366
Ses01F_script03_2_F037,ang,Ses01F,Ses01,"Oh shut up.  Let go.  I hate you, I hate you.  Do you hear?  You are a conceited and overbearing and utterly impossible.",0.9999849814138315,0.8232150821201015,0.7328103094035383,0.9999978853701426,1.188450304468732e-05,0.9999984969907056,0.912528555946304,3.556008258307614,0.44395747526033413
Ses01M_impro07_M022,sur,Ses01M,Ses01,It's totally a sport. What are you talking about?,0.9851384291533749,0.9998878054207211,0.5732273509851393,0.9958163856798689,0.010642910828196524,0.9972669523352068,0.9999444870624249,3.554069971239104,0.40783965842738323
Ses01M_impro07_F026,exc,Ses01M,Ses01,"No, no.  I love softball. I played softball all the time.",0.9781187318694193,0.999998916245372,0.576839764622564,0.9927280580747206,0.015669437210291064,0.9952495171112142,0.9999994636089595,3.547685470812076,0.394008109076204
Ses01F_script03_2_M040,ang,Ses01F,Ses01,"Shut up. Shut up. God, I wouldn't marry you again if you came crawling back to me on a bended knee.  You are a vile, ill-tempered, mean little wench and I never want to see you again as long as I live.",0.9290239951691636,0.9582384847388322,0.6855365233886063,0.9691219517383681,0.05082422797453876,0.9798289411513058,0.9793368115834764,3.54192095503497,0.2543709387800932
Ses01F_impro05_F018,ang,Ses01F,Ses01,Do you understand who my husband is?,0.9991392008682416,0.9989107290215077,0.5384631589014434,0.9998177966496693,0.0006175143548598828,0.9998808548961554,0.9994610392408645,3.536330885440862,0.46158310959495974
Ses01M_script03_2_F041,ang,Ses01M,Ses01,"Oh yes I am...Oh yes I am. Let go of me. You let go. You...urgh...You're a cruel friend. I loathe and I hate you. Marry you again...Ha...Never, never, never, never. I hope you die in torment. You beast.",0.9477636565774534,0.9587818485817686,0.6471006556845128,0.9800160539810806,0.037405500834326956,0.9869454612904215,0.9796056626849806,3.5336622148248154,0.3218972062922525
Ses01M_script02_2_F013,ang,Ses01M,Ses01,"Because they never do.  Do they, have they ever?",0.9994037380778493,0.9904356819309829,0.5413367821000852,0.9998855256971456,0.0004280897672529009,0.999925098572195,0.9952676690429614,3.5310617278060628,0.4675167997439267
Ses01M_impro03_F007,exc,Ses01M,Ses01,[LAUGHTER] Why did she pick you? Where were you?,0.9130093100013266,0.9997361917776111,0.6517912244793443,0.9656902221760932,0.06229170787300371,0.9775871802427128,0.999869470118469,3.530226948434375,0.22717211592046438
Ses01F_script03_2_F040,ang,Ses01F,Ses01,"Yes I am.   Stop it. Stop it.  Let go of me. Oh.  You're a cruel fiend.  I loathe and I hate you. Marry you again?  Never, never, never. I hope you die in torment, you brute beast cad.",0.9807187847264986,0.9812791873804876,0.5741474060169716,0.9936934929581899,0.013807642641055086,0.9958801828272268,0.9907371253238313,3.529838871082148,0.4189856842872295
